"AGCM","3100            ","CAREER PROFESSION  "
"AGCM","3810            ","INTRO DIG PHOTO AG "
"AGCM","3910            ","AG COM INTERNSHIP  "
"AGCM","4000            ","SPEC PROB AG COMM  "
"AGCM","4200            ","AGRIBUS COMM       "
"AGED","3010            ","APPL LEAD COMM AG  "
"AGED","3030            ","FLORAL DESIGN & MGT"
"AGED","4000            ","DIRECT PROJ EDUC   "
"AGED","4040            ","FLORAL ED          "
"AGED","4370            ","AGSCI FOR TEACHERS "
"AGED","4380            ","AG ED LAB METHODS  "
"AGED","5460            ","STU TEACH IN AG ED "
"AGED","6040            ","FLORAL ED          "
"AGED","6350E           ","CURR PLAN IN AG ED "
"AGED","6370            ","AGSCI FOR TEACHERS "
"AGED","6380            ","AB ED LAB METHODS  "
"AGED","7460            ","INTERNSHIP AG ED   "
"AIRS","1002            ","FNDATNS OF USAF II "
"AIRS","1002L           ","LEADER LAB II GMC  "
"AIRS","2002            ","AIR POWER HIST II  "
"AIRS","2002L           ","LEADER LAB II GMC  "
"AIRS","3002            ","AF LDRSHP STUDS II "
"AIRS","3002L           ","LEADER LAB II POC  "
"AIRS","4002            ","NATL SEC AFFAIRS II"
"AIRS","4002L           ","LEADER LAB II POC  "
"ALDR","3820            ","REF FIGHTING HUNGER"
"ALDR","3900S           ","LEADERSHIP         "
"ALDR","3910            ","INTERN LEADERSHIP  "
"ALDR","4000            ","DIRECT PROJ LEADER "
"ALDR","4600            ","GLOBAL AGRI ISSUES "
"ALDR","4710            ","INTERNATIONAL AGDEV"
"ALDR","6600            ","GLOBAL AGRI ISSUES "
"ALDR","6710            ","INTERNATIONAL AGDEV"
"ALDR","7000            ","MASTER'S RESEARCH  "
"ALDR","7070E           ","PROG DEV AGR LDR   "
"ALDR","7100E           ","DIR STUDY AGR LDR  "
"ALDR","7110E           ","SPEC PROBS IN ALDR "
"ALDR","7300            ","MASTER'S THESIS    "
"ANNU","8350            ","CARB-LIP IN NUTR   "
"ANTH","1102            ","INTRO ANTHROPOLOGY "
"ANTH","2100            ","INTRO AFRICA       "
"ANTH","2120H           ","INTRO TO ANTHRO    "
"ANTH","3010            ","FUNGI FRIENDS&FOES "
"ANTH","3030            ","AFR LANG AND CULT  "
"ANTH","3040            ","INTRO TO BIO ANTH  "
"ANTH","3190            ","MYTH IN CULTURE    "
"ANTH","3200            ","CONS GLOB          "
"ANTH","3230            ","MATERIAL CULTURE   "
"ANTH","3235            ","ROOTS AND ROOTING  "
"ANTH","4050            ","HISTORY OF ANTH    "
"ANTH","4061            ","PALEOANTHROPOLOGY  "
"ANTH","4080            ","ARCH OF SOUTHWEST  "
"ANTH","4095            ","UNDERWATER ARCH    "
"ANTH","4110            ","ANTH & AMRCN RELIGN"
"ANTH","4210            ","ZOOARCHAEOLOGY     "
"ANTH","4225            ","MEXICAN CIVILIZATIO"
"ANTH","4245            ","ORAL LIT           "
"ANTH","4260            ","NAT HIST COLL MGMT "
"ANTH","4261            ","MUS NAT HIST INTERN"
"ANTH","4290            ","ENVIRONMENTAL ARCH "
"ANTH","4461            ","AFRICAN ETHNOGRAPHY"
"ANTH","4550            ","ETHNOHISTORY       "
"ANTH","4560            ","ANTH OF DEVELOPMENT"
"ANTH","4560I           ","ANTH DEVELOP PORT  "
"ANTH","4790            ","HUMAN ADAPTATION   "
"ANTH","4850            ","ARCH AND SOCIETY   "
